Dia,Ganancias
16-12-2020,33000
17-12-2020,12000
18-12-2020,47000
19-12-2020,14000
20-12-2020,4500
21-12-2020,20500
22-12-2020,40000
23-12-2020,56000
24-12-2020,43500
25-12-2020,13000
26-12-2020,17000
27-12-2020,23000
28-12-2020,2000
29-12-2020,13500
30-12-2020,25000
31-12-2020,22000
01-01-2021,2500
02-01-2021,5000
03-01-2021,9500
04-01-2021,14000
05-01-2021,74000
06-01-2021,13000
07-01-2021,9000
08-01-2021,43500
09-01-2021,7000
10-01-2021,16000
11-01-2021,2500
12-01-2021,78000
13-01-2021,49500
14-01-2021,9500
15-01-2021,2500
16-01-2021,7500
17-01-2021,4000
18-01-2021,9000
19-01-2021,12000
20-01-2021,2000
21-01-2021,5500
22-01-2021,10500
23-01-2021,13000
24-01-2021,10500
25-01-2021,2000
26-01-2021,6500
27-01-2021,20000
28-01-2021,2000
29-01-2021,3500
30-01-2021,8500
31-01-2021,17000
01-02-2021,6500
02-02-2021,18000
03-02-2021,2000
04-02-2021,4500
05-02-2021,20000
06-02-2021,12000
07-02-2021,9000
08-02-2021,6500
09-02-2021,9000
10-02-2021,8500
11-02-2021,19500
12-02-2021,13000
13-02-2021,52000
14-02-2021,145000
15-02-2021,31000
16-02-2021,44000
17-02-2021,84000
18-02-2021,27000
19-02-2021,80000
20-02-2021,3500
21-02-2021,13000
22-02-2021,10000
23-02-2021,23000
24-02-2021,48000
25-02-2021,30500
26-02-2021,36000
27-02-2021,2000
28-02-2021,3000
01-03-2021,7000
02-03-2021,17500
03-03-2021,36000
04-03-2021,21000
05-03-2021,59500
06-03-2021,5000
07-03-2021,2000
08-03-2021,60200
09-03-2021,3000
10-03-2021,14000
11-03-2021,32500
12-03-2021,35500
13-03-2021,7500
14-03-2021,12500
15-03-2021,27000
16-03-2021,9500
17-03-2021,25500
18-03-2021,20000
19-03-2021,92000
20-03-2021,12000
21-03-2021,23000
22-03-2021,28000
23-03-2021,9000
24-03-2021,27500
25-03-2021,13000
26-03-2021,2000
27-03-2021,5000
28-03-2021,10000
29-03-2021,9000
30-03-2021,23000
31-03-2021,50000
01-04-2021,101500
02-04-2021,11000
03-04-2021,12000
04-04-2021,17000
05-04-2021,21000
06-04-2021,15000
07-04-2021,19000
08-04-2021,6000
09-04-2021,64600
10-04-2021,24000
11-04-2021,16000
12-04-2021,21000
13-04-2021,21000
14-04-2021,2000
15-04-2021,24000
16-04-2021,62000
17-04-2021,3000
18-04-2021,4500
19-04-2021,15000
20-04-2021,15500
21-04-2021,29000
22-04-2021,18000
23-04-2021,46000
24-04-2021,20000
25-04-2021,9000
26-04-2021,4000
27-04-2021,18400
28-04-2021,17000
29-04-2021,56000
30-04-2021,21500
01-05-2021,7000
02-05-2021,12000
03-05-2021,51500
04-05-2021,36400
05-05-2021,43800
06-05-2021,196400
07-05-2021,168500
08-05-2021,9000
09-05-2021,12000
10-05-2021,96000
11-05-2021,17500
12-05-2021,22000
13-05-2021,3500
14-05-2021,20000
15-05-2021,8000
16-05-2021,10500
17-05-2021,4000
18-05-2021,14000
19-05-2021,19500
20-05-2021,22000
21-05-2021,2000
22-05-2021,10000
23-05-2021,12000
24-05-2021,15000
25-05-2021,11000
26-05-2021,17000
27-05-2021,20000
28-05-2021,15000
29-05-2021,18500
30-05-2021,22000
31-05-2021,23000
01-06-2021,2000
02-06-2021,12000
03-06-2021,4500
04-06-2021,15000
05-06-2021,2000
06-06-2021,7000
07-06-2021,18000
08-06-2021,16000
09-06-2021,15000
10-06-2021,21500
11-06-2021,2000
12-06-2021,6000
13-06-2021,14000
14-06-2021,8200
15-06-2021,3380
16-06-2021,7500
17-06-2021,72000
18-06-2021,104000
19-06-2021,2000
20-06-2021,12000
21-06-2021,6500
22-06-2021,12500
23-06-2021,17500
24-06-2021,7000
25-06-2021,32000
26-06-2021,19000
27-06-2021,20000
28-06-2021,20000
29-06-2021,12000
30-06-2021,24000
01-07-2021,3500
02-07-2021,2000
03-07-2021,4500
04-07-2021,6000
05-07-2021,11000
06-07-2021,17000
07-07-2021,16000
08-07-2021,21000
09-07-2021,2000
10-07-2021,68500
11-07-2021,2000
12-07-2021,3000
13-07-2021,26600
14-07-2021,5000
15-07-2021,6500
16-07-2021,11500
17-07-2021,14000
18-07-2021,16500
19-07-2021,8000
20-07-2021,20000
21-07-2021,32400
22-07-2021,2000
23-07-2021,126500
24-07-2021,15000
25-07-2021,70100
26-07-2021,2000
27-07-2021,3000
28-07-2021,53800
29-07-2021,9000
30-07-2021,21000
31-07-2021,79000
01-08-2021,2000
02-08-2021,13000
03-08-2021,50000
04-08-2021,8000
05-08-2021,16500
06-08-2021,2000
07-08-2021,50000
08-08-2021,47500
09-08-2021,17000
10-08-2021,48000
11-08-2021,55600
12-08-2021,32500
13-08-2021,22500
14-08-2021,116600
15-08-2021,4500
16-08-2021,7000
17-08-2021,2000
18-08-2021,8000
19-08-2021,3000
20-08-2021,17000
21-08-2021,12500
22-08-2021,61500
23-08-2021,14000
24-08-2021,20000
25-08-2021,15000
26-08-2021,24000
27-08-2021,18000
28-08-2021,144600
29-08-2021,46000
30-08-2021,22000
31-08-2021,7000
01-09-2021,19500
02-09-2021,58800
03-09-2021,22400
04-09-2021,25000
05-09-2021,13500
06-09-2021,12000
07-09-2021,72000
08-09-2021,6000
09-09-2021,47000
10-09-2021,28000
11-09-2021,21000
12-09-2021,22500
13-09-2021,2000
14-09-2021,31000
15-09-2021,28000
16-09-2021,109400
17-09-2021,53000
18-09-2021,84000
19-09-2021,5000
20-09-2021,9000
21-09-2021,24000
22-09-2021,25000
23-09-2021,65000
24-09-2021,27500
25-09-2021,13000
26-09-2021,7500
27-09-2021,72500
28-09-2021,9000
29-09-2021,17000
30-09-2021,57500
01-10-2021,10000
02-10-2021,113900
03-10-2021,12500
04-10-2021,33400
05-10-2021,9000
06-10-2021,17400
07-10-2021,27100
08-10-2021,15000
09-10-2021,114000
10-10-2021,94000
11-10-2021,3000
12-10-2021,11500
13-10-2021,7000
14-10-2021,3000
15-10-2021,21500
16-10-2021,62500
17-10-2021,77500
18-10-2021,14000
19-10-2021,101000
20-10-2021,22500
21-10-2021,22000
22-10-2021,35000
23-10-2021,131000
24-10-2021,17000
25-10-2021,10000
26-10-2021,40500
27-10-2021,22000
28-10-2021,73500
29-10-2021,99000
30-10-2021,176500
31-10-2021,172500
01-11-2021,186000
02-11-2021,14000
03-11-2021,41000
04-11-2021,3000
05-11-2021,29000
06-11-2021,121000
07-11-2021,14000
08-11-2021,10000
09-11-2021,47700
10-11-2021,55000
11-11-2021,12000
12-11-2021,18500
13-11-2021,120400
14-11-2021,3000
15-11-2021,22000
16-11-2021,43000
17-11-2021,53000
18-11-2021,4500
19-11-2021,33000
20-11-2021,76000
21-11-2021,89000
22-11-2021,9000
23-11-2021,12500
24-11-2021,65000
25-11-2021,10000
26-11-2021,19500
27-11-2021,63500
28-11-2021,110400
29-11-2021,4500
30-11-2021,36500
01-12-2021,4000
02-12-2021,43000
03-12-2021,15500
04-12-2021,136000
05-12-2021,76000
06-12-2021,7000
07-12-2021,138000
08-12-2021,60500
09-12-2021,88500
10-12-2021,22500
11-12-2021,11000
12-12-2021,32000
13-12-2021,11000
14-12-2021,95000
15-12-2021,7500
16-12-2021,8000
